threshold,accuracy,precision,recall,f1_macro,mae,predicted_positive_rate,gold_positive_rate
0.2,0.697646,0.379412,0.765579,0.644632,0.275377,0.41038,0.20338
0.25,0.732649,0.413115,0.747774,0.672525,0.275377,0.368135,0.20338
0.3,0.761014,0.445065,0.709199,0.692308,0.275377,0.32408,0.20338
0.35,0.77248,0.460159,0.68546,0.699166,0.275377,0.302957,0.20338
0.4,0.782136,0.474576,0.664688,0.704829,0.275377,0.284852,0.20338
0.45,0.786361,0.480813,0.632047,0.703227,0.275377,0.267351,0.20338
0.5,0.785757,0.478571,0.596439,0.696105,0.275377,0.25347,0.20338
0.55,0.794206,0.494819,0.566766,0.698372,0.275377,0.232951,0.20338
0.6,0.800845,0.509915,0.534125,0.697988,0.275377,0.213036,0.20338
